booking_id,booking_date,hotel,is_canceled,adults,children,meal,country,market_segment,deposit_type,agent,price,required_car_parking_spaces,reservation_status,name,email,stays_in_weekend_nights
1,01-07-2015,Resort Hotel,0,2,,BB,PRT,Direct,No Deposit,,,0,Check-Out,Ernest Barnes,Ernest.Barnes31@outlook.com,0
2,01-07-2015,Resort Hotel,0,2,,BB,PRT,Direct,No Deposit,,,0,Check-Out,Andrea Baker,Andrea_Baker94@aol.com,0
3,02-07-2015,Resort Hotel,0,1,,BB,GBR,Direct,No Deposit,,75,0,Check-Out,Rebecca Parker,Rebecca_Parker@comcast.net,0
4,02-07-2015,Resort Hotel,0,1,,BB,GBR,Corporate,No Deposit,304,75,0,Check-Out,Laura Murray,Laura_M@gmail.com,0
5,03-07-2015,Resort Hotel,0,2,,BB,GBR,Online TA,No Deposit,240,98,0,Check-Out,Linda Hines,LHines@verizon.com,0
6,03-07-2015,Resort Hotel,0,2,,BB,GBR,Online TA,No Deposit,240,98,0,Check-Out,Jasmine Fletcher,JFletcher43@xfinity.com,0
7,03-07-2015,Resort Hotel,0,2,,BB,PRT,Direct,No Deposit,,107,0,Check-Out,Dylan Rangel,Rangel.Dylan@comcast.net,0
8,03-07-2015,Resort Hotel,0,2,,FB,PRT,Direct,No Deposit,303,103,0,Check-Out,William Velez,Velez_William@mail.com,0
9,06-05-2015,Resort Hotel,1,2,,BB,PRT,Online TA,No Deposit,240,82,0,Canceled,Steven Murphy,Steven.Murphy54@aol.com,0
10,22-04-2015,Resort Hotel,1,2,,HB,PRT,Offline TA/TO,No Deposit,15,105.5,0,Canceled,Michael Moore,MichaelMoore81@outlook.com,0
11,23-06-2015,Resort Hotel,1,2,,BB,PRT,Online TA,No Deposit,240,123,0,Canceled,Priscilla Collins PhD,PhD.Priscilla74@att.com,0
12,05-07-2015,Resort Hotel,0,2,,HB,PRT,Online TA,No Deposit,240,145,0,Check-Out,Laurie Smith,Smith.Laurie@att.com,0
13,05-07-2015,Resort Hotel,0,2,,BB,USA,Online TA,No Deposit,240,97,0,Check-Out,Casey Thomas,Casey_T78@outlook.com,0
14,05-07-2015,Resort Hotel,0,2,1,HB,ESP,Online TA,No Deposit,241,154.77,0,Check-Out,Rachel Friedman,Rachel.F@protonmail.com,0
15,05-07-2015,Resort Hotel,0,2,,BB,PRT,Online TA,No Deposit,241,94.71,0,Check-Out,Edward Torres,Edward.T@zoho.com,0
16,05-07-2015,Resort Hotel,0,2,,BB,IRL,Online TA,No Deposit,240,97,0,Check-Out,Samuel Zavala,Zavala_Samuel46@xfinity.com,0
17,05-07-2015,Resort Hotel,0,2,,BB,PRT,Offline TA/TO,No Deposit,8,97.5,0,Check-Out,Dr. Victor Martin,Dr.Martin@xfinity.com,0
18,02-07-2015,Resort Hotel,0,2,,BB,IRL,Online TA,No Deposit,240,88.2,0,Check-Out,Sara Lee,Sara.L@hotmail.com,0
19,02-07-2015,Resort Hotel,0,2,,BB,FRA,Corporate,No Deposit,,107.42,0,Check-Out,Curtis Rodriguez,CRodriguez@verizon.com,0
20,05-07-2015,Resort Hotel,0,2,,BB,GBR,Direct,No Deposit,250,153,0,Check-Out,Stephanie Schmidt,StephanieSchmidt@hotmail.com,0
21,06-07-2015,Resort Hotel,0,1,,BB,GBR,Online TA,No Deposit,241,97.29,0,Check-Out,John Matthews,John.Matthews@aol.com,1
22,07-07-2015,Resort Hotel,0,2,,BB,PRT,Direct,No Deposit,250,84.67,0,Check-Out,Robert Chung,Robert.Chung47@yandex.com,2
23,07-07-2015,Resort Hotel,0,2,,BB,PRT,Direct,No Deposit,250,84.67,0,Check-Out,Mark Garcia,MGarcia16@comcast.net,2
24,07-07-2015,Resort Hotel,0,2,,BB,PRT,Direct,No Deposit,250,99.67,0,Check-Out,Brandon Taylor,BrandonTaylor@hotmail.com,2
